state_code,zip_code,city,name,is_acquired_numerical,founded_at,closed_at,first_funding_at,last_funding_at,age_first_funding_year,age_last_funding_year,age_first_milestone_year,age_last_milestone_year,relationships,funding_rounds,funding_total_usd,milestones,category_code,is_software,is_web,is_mobile,is_enterprise,is_advertising,is_gamesvideo,is_ecommerce,is_biotech,is_consulting,is_othercategory,has_VC,has_angel,has_roundA,has_roundB,has_roundC,has_roundD,avg_participants,is_acquired
CA,92101,San Diego,Bandsintown,1,1/1/2007,,4/1/2009,1/1/2010,2.2493,3.0027,4.6685,6.7041,3,3,375000,3,music,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1.0,acquired
CA,95032,Los Gatos,TriCipher,1,1/1/2000,,2/14/2005,12/28/2009,5.126,9.9973,7.0055,7.0055,9,4,40100000,1,enterprise,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,1,4.75,acquired
CA,92121,San Diego,Plixi,1,3/18/2009,,3/30/2010,3/30/2010,1.0329,1.0329,1.4575,2.2055,5,1,2600000,2,web,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4.0,acquired
CA,95014,Cupertino,Solidcore Systems,1,1/1/2002,,2/17/2005,4/25/2007,3.1315,5.3151,6.0027,6.0027,5,3,40000000,1,software,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,3.3333,acquired
CA,94105,San Francisco,Inhale Digital,0,8/1/2010,10/1/2012,8/1/2010,4/1/2012,0.0,1.6685,0.0384,0.0384,2,2,1300000,1,games_video,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1.0,closed
CA,94043,Mountain View,Matisse Networks,0,1/1/2002,2/15/2009,7/18/2006,7/18/2006,4.5452,4.5452,5.0027,5.0027,3,1,7500000,1,network_hosting,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,3.0,closed
CA,94041,Mountain View,RingCube Technologies,1,1/1/2005,,9/21/2006,3/18/2010,1.7205,5.211,3.0,6.6082,6,3,26000000,2,software,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1.6667,acquired
CA,94901,San Rafael,ClairMail,1,1/1/2004,,8/24/2005,10/4/2010,1.6466,6.7616,5.6055,7.3616,25,3,34100000,3,finance,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,3.5,acquired
MA,1267,Williamstown,VoodooVox,1,1/1/2002,,8/2/2005,2/8/2013,3.5863,11.1123,8.0055,9.9945,13,3,9650000,4,mobile,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,4.0,acquired
CA,94306,Palo Alto,Doostang,1,6/1/2005,,2/1/2007,2/5/2010,1.6712,4.6849,2.9178,6.1151,14,3,5750000,4,web,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1.0,acquired
CA,94025,Menlo Park,Zong,1,11/15/2000,,7/1/2005,4/26/2010,4.6274,9.4493,10.1342,10.6493,22,3,27500000,3,mobile,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1.0,acquired
CA,94025,Menlo Park,Center'd,0,1/1/2006,12/2/2011,2/1/2007,5/3/2011,1.0849,5.3370000000000015,-0.6164,4.6082,8,5,10400000,2,web,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1.75,closed
KY,40204,Louisville,Resonant Vibes,0,1/1/2004,4/27/2012,11/25/2008,11/25/2008,4.9041,4.9041,,,0,1,350000,0,web,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1.0,closed
NY,11201,Brooklyn,drop.io,1,11/26/2007,,12/3/2007,5/3/2010,0.0192,2.4356,0.7945,4.3781,15,3,9950000,3,education,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,2.3333,acquired
CO,80202,Denver,Stratavia,1,1/1/2001,,8/31/2005,12/29/2009,4.6658,8.9973,8.8384,8.8384,12,5,10700000,1,software,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2.5,acquired
VA,22182,Vienna,Invicta Networks,0,1/1/1999,3/28/2010,8/9/2005,8/9/2005,6.6082,6.6082,,,0,1,200000,0,public_relations,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1.0,closed
CA,94022,Los Altos,QSecure,0,1/1/2003,9/22/2012,8/2/2005,10/5/2009,2.5863,6.7644,5.5014,5.5014,8,5,49000000,1,security,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,1,3.5,closed
CA,94010,Burlingame,MeeVee,1,7/1/2000,,2/1/2005,9/1/2007,4.5918,7.1726,-0.4986,12.6795,7,4,25000000,3,games_video,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,3.5,acquired
NY,10004,New York,SinglePlatform,1,1/1/2010,,9/29/2010,8/1/2011,0.7425,1.5808,1.2849,3.0027,10,3,4575000,3,web,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,5.0,acquired
CA,94301,Palo Alto,Bling Nation,0,1/1/2007,9/10/2011,7/2/2009,10/30/2009,2.5014,2.8301,3.0877,3.4932,13,2,28000000,3,enterprise,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1.0,closed
TX,78735,Austin,Metreos Corporation,1,1/1/2001,,3/20/2003,10/14/2004,2.2137,3.7863,4.0877,9.4986,8,2,4355000,3,software,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1.5,acquired
WA,98122,Seattle,Hidden City Games,0,1/1/2004,9/28/2011,10/31/2007,10/31/2007,3.8329,3.8329,3.7507,3.7507,3,1,15000000,1,other,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,2.0,closed
CA,94306,Palo Alto,Neopolitan Networks,0,1/1/2002,7/25/2008,6/28/2007,6/28/2007,5.4904,5.4904,0.0,0.0,1,1,3170000,1,web,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2.0,closed
CA,94103,San Francisco,Pixelpipe,0,1/1/2008,8/2/2013,1/1/2007,4/25/2011,-1.0,3.3151,3.6959,5.662999999999999,4,2,2300000,3,mobile,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,2.0,closed
CO,80302,Boulder,EventVue,0,5/1/2007,2/1/2010,8/1/2007,9/1/2007,0.2521,0.337,,,5,2,455000,0,public_relations,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,4.5,closed
IL,60601,Chicago,BridgePort Networks,1,1/1/2002,,11/3/2006,11/3/2006,4.8411,4.8411,1.0,1.0,3,1,13000000,1,software,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4.0,acquired
CA,94303,Palo Alto,Scalent Systems,1,1/1/2003,,1/22/2007,1/22/2007,4.0603,4.0603,3.0027,3.0027,7,1,15000000,1,public_relations,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,4.0,acquired
CA,94704,Berkeley,IQ Engines,1,6/1/2008,,6/25/2012,6/25/2012,4.0685,4.0685,3.4192,5.2301,2,1,3800000,3,photo_video,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,2.0,acquired
TX,78701,Austin,"RetailMeNot, Inc.",1,5/1/2007,,11/1/2009,11/10/2011,2.5068,4.5315,4.9315,5.6767,37,5,299500000,2,web,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1.75,acquired
CA,92705,Santa Ana,Mophie,1,5/24/2005,,8/1/2006,8/1/2006,1.189,1.189,2.189,7.7753,5,1,1000000,3,hardware,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,2.0,acquired
CA,94035,Moffett Field,Airship Ventures,0,1/1/2007,11/14/2012,5/9/2008,3/1/2009,1.3534,2.1644,4.5178,4.5178,3,2,10500000,1,other,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,2.0,closed
WA,98119,Seattle,Lockdown Networks,1,1/1/2001,,2/25/2005,3/2/2006,4.1534,5.1671,3.0,3.0,6,2,8600000,1,public_relations,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1.5,acquired
NC,27701,Durham,eMinor,0,10/1/2006,2/17/2012,8/1/2006,10/7/2008,-0.1671,2.0192,,,9,2,5000000,0,software,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2.5,closed
CA,94105,San Francisco,Karma,1,1/1/2011,,1/1/2011,11/14/2011,0.0,0.8685,0.4137,2.1671,3,2,2304999,2,mobile,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,5.0,acquired
PA,15219,Pittsburgh,Zipano,0,6/1/2009,5/27/2012,7/1/2009,7/1/2009,0.0822,0.0822,,,2,1,25000,0,security,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1.0,closed
NY,10011,New York,Entertainment Media Works,0,7/1/2004,10/1/2008,2/26/2007,2/26/2007,2.6575,2.6575,0.0,0.0,1,1,4000000,1,software,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1.0,closed
CA,94111,San Francisco,Elastra,0,1/1/2007,1/28/2011,8/15/2007,8/5/2008,0.6192,1.5945,1.0,4.3315,8,2,14600000,3,software,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2.0,closed
CA,95134,San Jose,RPO,0,1/1/2005,6/1/2013,1/24/2006,9/13/2010,1.063,5.7014,,,0,3,44000000,0,hardware,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,4.5,closed
CA,94107,San Francisco,Fotomoto,1,10/1/2008,,12/1/2008,5/26/2011,0.1671,2.6493,0.6082,4.7507,10,3,1822922,3,ecommerce,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,2.3333,acquired
NY,10010,New York,Peer39,1,3/1/2006,,3/1/2006,1/24/2012,0.0,5.9041,3.8411,7.1370000000000005,18,7,29915001,5,advertising,0,0,0,0,1,0,0,0,0,0,1,1,1,1,1,0,2.75,acquired
GA,30303,Atlanta,Vitrue,1,5/1/2006,,5/1/2006,2/17/2011,0.0,4.8027,3.7205,7.6164,26,4,33000000,5,enterprise,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,3.0,acquired
NH,3101,Manchester,Trendslide,1,8/1/2011,,8/1/2011,3/1/2012,0.0,0.5836,0.5836,0.5945,9,2,125000,2,mobile,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1.0,acquired
CA,94025,Menlo Park,PublicEarth,0,1/1/2008,2/15/2011,2/8/2008,5/21/2010,0.1041,2.3863,2.3315,2.7918,7,2,4000000,2,travel,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1.0,closed
WA,98102,Seattle,Azaleos,1,5/11/2004,,11/6/2007,11/6/2007,3.4904,3.4904,5.6603,8.3425,10,1,10000000,3,enterprise,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,2.0,acquired
CA,94089,Sunnyvale,Efficient Frontier,1,1/1/2002,,8/31/2006,8/31/2006,4.6658,4.6658,8.7425,10.2247,25,1,6000000,4,advertising,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,3.0,acquired
CA,94085,Sunnyvale,NetDevices,1,1/1/2003,,8/16/2005,8/16/2005,2.6247,2.6247,,,4,1,25000000,0,software,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5.0,acquired
NY,100011,New York,Go Try It On,1,12/1/2009,,11/4/2010,11/13/2012,0.926,2.9534,0.8329,2.7425,2,3,3750000,3,fashion,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,2.0,acquired
MA,2139,Cambridge,Performable,1,10/17/2009,,1/15/2010,1/15/2010,0.2466,0.2466,1.1178,1.663,9,1,3000000,2,software,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1.0,acquired
CA,94607,San Francisco,Appstores.com,1,5/24/2010,,8/1/2010,8/1/2011,0.189,1.189,1.3562,1.6575,6,2,1155000,2,software,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,9.5,acquired
